"id-système (xml:c/@id) ";"cote (xml:unitid) ";"unittitle ";"unitdate ";" date-normalisee ";"extent ";"dimensions ";"première image";"dernière image";"Lien première image";"Lien dernière image"
"c-8mtdx4kzl-1145ldhb89qay ";"AG//SPH/40 ";"Reportage n° 1728 / Voyage en France de Philibert Tsiranana, président de la République malgache. ";"24 novembre 1964 ";" 1964-11-24 ";"5 négatifs ";"6 x 6 cm ";"FRAN_0158_3828_L.jpg";"FRAN_0158_3832_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3828_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3832_L.jpg "
"c-8n8c4q75j--1tted4sqq1gi3 ";"AG//SPH/40 ";"Reportage n° 1729 / Chasse en forêt de Rambouillet. ";"1er décembre 1964 ";" 1964-12-01 ";"25 négatifs ";"6 x 6 cm ";"FRAN_0158_3833_L.jpg";"FRAN_0158_3857_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3833_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3857_L.jpg "
"c-8nogvq1z7--ggc153uj33kf ";"AG//SPH/40 ";"Reportage n° 1730 / Voyage en France de Moïse Tchombé, président du Congo-Léopoldville. ";"1er décembre 1964 ";" 1964-12-01 ";"3 négatifs ";"6 x 6 cm ";"FRAN_0158_3858_L.jpg";"FRAN_0158_3860_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3858_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3860_L.jpg "
"c-8o4k6e9jn-yx4z96b93f7l ";"AG//SPH/41 ";"Reportage n° 1731 / Remise des lettres de créance par le prince Moulay Ali, ambassadeur du Maroc en France, par Vladimir Topentcharov, ambassadeur de Bulgarie en France, et par Ya Doumbia, ambassadeur du Mali en France. ";"5 décembre 1964 ";" 1964-12-05 ";"10 négatifs ";"6 x 6 cm ";"FRAN_0158_3884_L.jpg";"FRAN_0158_3893_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3884_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3893_L.jpg "
"c-8okkbw9z1-1dhg1a2qy2xv5 ";"AG/5(1)/1055, AG//SPH/40 ";"Reportage n° 1732 / Chasse en forêt de Rambouillet. ";"8 décembre 1964 ";" 1964-12-08 ";"1 positif et 23 négatifs ";"6 x 6 cm ";"FRAN_0158_3861_L.jpg";"FRAN_0158_3883_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3861_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3883_L.jpg "
"c-8p5o9u1gy-ibwbm0cnst15 ";"AG//SPH/41 ";"Reportage n° 1733 / Arbre de Noël pour les enfants du personnel de la présidence de la République et de la Communauté et pour les enfants des écoles de Paris. ";"10 décembre 1964 ";" 1964-12-10 ";"9 négatifs ";"6 x 6 cm ";"FRAN_0158_3895_L.jpg";"FRAN_0158_3903_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3895_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3903_L.jpg "
"c-8pno8qggs--1v56zbg8yi0y9 ";"AG//SPH/41 ";"Reportage n° 1734 / Chasse en forêt de Marly-le-Roi. ";"12 décembre 1964 ";" 1964-12-12 ";"25 négatifs ";"6 x 6 cm ";"FRAN_0158_3904_L.jpg";"FRAN_0158_3928_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3904_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3928_L.jpg "
"c-8q2tvsnlh--e5iuahigokyc ";"AG//SPH/41 ";"Reportage n° 1735 / Chasse en forêt de Rambouillet. ";"17 décembre 1964 ";" 1964-12-17 ";"47 négatifs ";"6 x 6 cm ";"FRAN_0158_3932_L.jpg";"FRAN_0158_3954_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3932_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3954_L.jpg "
"c-8qr0bgnrd--oco0cotzmmfz ";"AG//SPH/41 ";"Reportage n° 1736 / Remise des lettres de créance par U. El Zahre Lian, ambassadeur de Birmanie en France. ";"18 décembre 1964 ";" 1964-12-18 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_3929_L.jpg";"FRAN_0158_3930_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3929_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_3930_L.jpg "
"c-8r8gcj9u9-1r0uf7soo5ven ";;"Reportage vacant / [Chasse en forêt de Rambouillet (22 décembre 1964)]. ";;"  ";;;"no link ";" ";;
